,C00001,C00002,C00003,C00004,C00005,C00006,C00007,C00008,C00009,C00010,C00011,C00013,C00014,C00016,C00020,C00022,C00024,C00026,C00027,C00028,C00030,C00031,C00033,C00035,C00036,C00042,C00044,C00067,C00068,C00074,C00080,C00081,C00084,C00091,C00103,C00104,C00111,C00117,C00118,C00119,C00121,C00122,C00125,C00126,C00138,C00139,C00149,C00158,C00186,C00197,C00198,C00199,C00204,C00221,C00227,C00231,C00236,C00257,C00258,C00267,C00279,C00288,C00311,C00345,C00390,C00399,C00404,C00417,C00469,C00530,C00577,C00615,C00620,C00631,C00668,C00672,C00673,C01151,C01159,C01172,C01218,C01236,C01352,C01451,C01801,C02323,C03752,C04261,C04262,C04442,C05125,C05345,C05378,C05379,C05381,C05382,C06019,C06186,C06187,C06188,C06473,C15602,C15603,C15972,C15973,C16254,C16255,C18233,C18234,C20589
R00014,,,,,,,,,,,1,,,,,-1,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
R00200,,-1,,,,,,1,,,,,,,,-1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R00229,,-1,,,,,,1,1,-1,,,,,,,1,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R00235,,-1,,,,,,,,-1,,1,,,1,,1,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R00268,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,
R00305,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,1,,,,,,,
R00341,,-1,,,,,,1,,,1,,,,,,,,,,,,,,-1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R00342,,,-1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R00344,,-1,,,,,,1,1,,,,,,,-1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R00351,1,,,,,,,,,-1,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
