,0
1,3-phosphoglycerate
2,Aapartate
3,Accetyl-CoA
4,Acetate
5,ADP
6,Alanine
7,AMP
8,Arginine
9,Asparagine
10,ATP
11,CO2
12,CoA
13,Cysteine
14,E4P
15,Fum
16,G3P
17,Glutamate
18,Glutamine
19,Glycine
20,Histidine
21,Isoleucine
22,Leucine
23,Lysine
24,Methionine
25,NAD
26,NADH
27,NADP
28,NADPH
29,NH3
30,Oxaloacetate
31,PEP
32,Phenylalanine
33,Pi
34,PPi
35,Proline
36,PRPP
37,Pyruvate
38,Serine
39,Succinate
40,Succinyl-CoA
41,Threonine
42,Trp
43,Tyrosine
44,Valine
45,_-ketoglutarate
