,0
0,3PG
1,Aapartate
2,Accetyl-CoA
3,Acetate
4,Acetyl-CoA
5,ADP
6,Alanine
7,AMP
8,Arginine
9,Asparagine
10,ATP
11,CO2
12,CoA
13,Cysteine
14,E4P
15,Fumarate
16,G3P
17,Glutamate
18,Glutamine
19,Glycine
20,Histidine
21,Isoleucine
22,Leucine
23,Lysine
24,Methionine
25,NAD
26,NADH
27,NADP
28,NADPH
29,Oxaloacetate
30,PEP
31,Phenylalanine
32,Proline
33,PRPP
34,Pyruvate
35,Serine
36,Succinate
37,Succinyl-CoA
38,Threonine
39,Triptophan
40,Tyrosine
41,Valine
42,_KG
