,0
0,2
1,C00001
2,C00002
3,C00003
4,C00004
5,C00005
6,C00006
7,C00007
8,C00008
9,C00009
10,C00010
11,C00011
12,C00013
13,C00014
14,C00016
15,C00020
16,C00022
17,C00024
18,C00026
19,C00027
20,C00028
21,C00030
22,C00031
23,C00033
24,C00035
25,C00036
26,C00042
27,C00044
28,C00067
29,C00068
30,C00074
31,C00080
32,C00081
33,C00084
34,C00091
35,C00103
36,C00104
37,C00111
38,C00117
39,C00118
40,C00119
41,C00121
42,C00122
43,C00125
44,C00126
45,C00138
46,C00139
47,C00149
48,C00158
49,C00186
50,C00197
51,C00198
52,C00199
53,C00204
54,C00221
55,C00227
56,C00231
57,C00236
58,C00257
59,C00258
60,C00267
61,C00279
62,C00288
63,C00311
64,C00345
65,C00390
66,C00399
67,C00404
68,C00417
69,C00469
70,C00530
71,C00577
72,C00615
73,C00620
74,C00631
75,C00668
76,C00672
77,C00673
78,C01151
79,C01159
80,C01172
81,C01218
82,C01236
83,C01352
84,C01451
85,C01801
86,C02323
87,C03752
88,C04261
89,C04262
90,C04442
91,C05125
92,C05345
93,C05378
94,C05379
95,C05381
96,C05382
97,C06019
98,C06186
99,C06187
100,C06188
101,C06473
102,C15602
103,C15603
104,C15972
105,C15973
106,C16254
107,C16255
108,C18233
109,C18234
110,C20589
