Reaction Number,Compound Number
R00014,C00022 + C00068 <=> C05125 + C00011
R00200,C00002 + C00022 <=> C00008 + C00074
R00229,C00002 + C00033 + C00010 <=> C00008 + C00024 + C00009
R00235,C00002 + C00033 + C00010 <=> C00020 + C00013 + C00024
R00341,C00002 + C00036 <=> C00008 + C00074 + C00011
R00431,C00044 + C00036 <=> C00035 + C00074 + C00011
R00658,C00631 <=> C00074 + C00001
R00703,C00186 + C00003 <=> C00022 + C00004 + C00080
R00710,C00084 + C00003 + C00001 <=> C00033 + C00004 + C00080
R00711,C00084 + C00006 + C00001 <=> C00033 + C00005 + C00080
R00726,C00081 + C00036 <=> C00104 + C00074 + C00011
R00746,C00469 + C00006 <=> C00084 + C00005 + C00080
R00754,C00469 + C00003 <=> C00084 + C00004 + C00080
R00755,C00084 + C00068 <=> C05125
R00947,C00103 + C00001 <=> C00267 + C00009
R00959,C00103 <=> C00668
R01015,C00118 <=> C00111
R01058,C00118 + C00006 + C00001 <=> C00197 + C00005 + C00080
R01061,C00118 + C00009 + C00003 <=> C00236 + C00004 + C00080
R01063,C00118 + C00009 + C00006 <=> C00236 + C00005 + C00080
R01070,C05378 <=> C00111 + C00118
R01196,2 C00138 + C00024 + C00011 + 2 C00080 <=> 2 C00139 + C00022 + C00010
R01512,C00002 + C00197 <=> C00008 + C00236
R01516,C01159 + C00615 <=> C00197 + C04262
R01518,C00631 <=> C00197
R01600,C00002 + C00221 <=> C00008 + C01172
R01602,C00267 <=> C00221
R01662,C00236 <=> C01159
R01786,C00002 + C00267 <=> C00008 + C00668
R01788,C00668 + C00001 <=> C00267 + C00009
R02073,C00013 + C05345 <=> C00009 + C05378
R02187,C00404 + C00221 <=> C00404 + C01172
R02189,C00404 + C00267 <=> C00404 + C00668
R02569,C00024 + C15973 <=> C00010 + C16255
R02738,C04261 + C00031 <=> C00615 + C00668
R02739,C00668 <=> C01172
R02740,C00668 <=> C05345
R03270,C05125 + C15972 <=> C16255 + C00068
R03321,C01172 <=> C05345
R04394,C04261 + C01451 <=> C00615 + C06188
R04779,C00002 + C05345 <=> C00008 + C05378
R04780,C05378 + C00001 <=> C05345 + C00009
R05132,C04261 + C06186 <=> C00615 + C06187
R05133,C06187 + C00001 <=> C00530 + C01172
R05134,C06188 + C00001 <=> C02323 + C01172
R05198,C00469 + 2 C00125 <=> 2 C00126 + C00084 + 2 C00080
R07159,C00118 + C00001 + 2 C00139 <=> C00197 + 2 C00080 + 2 C00138
R07618,C15973 + C00003 <=> C15972 + C00004 + C00080
R09084,C05345 + C00008 <=> C05378 + C00020
R09085,C00267 + C00008 <=> C00668 + C00020
R09086,C00221 + C00008 <=> C01172 + C00020
R09127,C00469 + 2 C18233 <=> C00084 + 2 C18234 + 2 C00080
R09479,
R09532,C01159 + C00001 <=> C00631 + C00009
R10860,C00118 + C00003 + C00001 <=> C00197 + C00004 + C00080
R00014,C00022 + C00068 <=> C05125 + C00011
R00268,C05379 <=> C00026 + C00011
R00341,C00002 + C00036 <=> C00008 + C00074 + C00011
R00342,C00149 + C00003 <=> C00036 + C00004 + C00080
R00344,C00002 + C00022 + C00288 <=> C00008 + C00009 + C00036
R00351,C00158 + C00010 <=> C00024 + C00001 + C00036
R00352,C00002 + C00158 + C00010 <=> C00008 + C00009 + C00024 + C00036
R00361,C00149 + C15602 <=> C00036 + C15603
R00405,C00002 + C00042 + C00010 <=> C00008 + C00009 + C00091
R00431,C00044 + C00036 <=> C00035 + C00074 + C00011
R00432,C00044 + C00042 + C00010 <=> C00035 + C00009 + C00091
R00621,C00026 + C00068 <=> C05381 + C00011
R00709,C00311 + C00003 <=> C00026 + C00011 + C00004 + C00080
R00726,C00081 + C00036 <=> C00104 + C00074 + C00011
R00727,C00081 + C00042 + C00010 <=> C00104 + C00009 + C00091
R01082,C00149 <=> C00122 + C00001
R01196,2 C00138 + C00024 + C00011 + 2 C00080 <=> 2 C00139 + C00022 + C00010
R01197,2 C00138 + C00091 + C00011 + 2 C00080 <=> 2 C00139 + C00026 + C00010
R01325,C00158 <=> C00417 + C00001
R01899,C00311 + C00006 <=> C05379 + C00005 + C00080
R01900,C00311 <=> C00417 + C00001
R02164,C15602 + C00042 <=> C15603 + C00122
R02569,C00024 + C15973 <=> C00010 + C16255
R02570,C00091 + C15973 <=> C00010 + C16254
R03270,C05125 + C15972 <=> C16255 + C00068
R03316,C05381 + C15972 <=> C16254 + C00068
R07618,C15973 + C00003 <=> C15972 + C00004 + C00080
R10343,C00091 + C00033 <=> C00024 + C00042
R00305,C00031 + C15602 <=> C00198 + C15603
R01049,C00002 + C00117 <=> C00020 + C00119
R01051,C00002 + C00121 <=> C00008 + C00117
R01056,C00117 <=> C00199
R01057,C00620 <=> C00117
R01058,C00118 + C00006 + C00001 <=> C00197 + C00005 + C00080
R01066,C00673 <=> C00118 + C00084
R01070,C05378 <=> C00111 + C00118
R01519,C00198 + C00001 <=> C00257
R01520,C00221 + C00003 <=> C00198 + C00004 + C00080
R01521,C00221 + C00006 <=> C00198 + C00005 + C00080
R01522,C00221 + C00007 <=> C00198 + C00027
R01528,C00345 + C00006 <=> C00199 + C00011 + C00005 + C00080
R01529,C00199 <=> C00231
R01538,C00257 <=> C00204 + C00001
R01541,C00002 + C00204 <=> C00008 + C04442
R01544,
R01621,C00231 + C00009 <=> C00227 + C00118 + C00001
R01641,C05382 + C00118 <=> C00117 + C00231
R01737,C00002 + C00257 <=> C00008 + C00345
R01739,C00257 + C00006 <=> C06473 + C00005 + C00080
R01741,C00257 + C00016 <=> C06473 + C01352
R01827,C05382 + C00118 <=> C00279 + C05345
R01830,C05345 + C00118 <=> C00279 + C00231
R02032,C00345 + C00003 <=> C01218 + C00004 + C00080
R02034,C00345 + C00006 <=> C01218 + C00005 + C00080
R02035,C01236 + C00001 <=> C00345
R02036,C00345 <=> C04442 + C00001
R02073,C00013 + C05345 <=> C00009 + C05378
R02658,C00002 + C06473 <=> C00008 + C01218
R02736,C01172 + C00006 <=> C01236 + C00005 + C00080
R02739,C00668 <=> C01172
R02740,C00668 <=> C05345
R02749,C00672 <=> C00673
R02750,C00673 + C00008 <=> C01801 + C00002
R04779,C00002 + C05345 <=> C00008 + C05378
R04780,C05378 + C00001 <=> C05345 + C00009
R05338,C00199 + C00067 <=> C06019
R05605,C04442 <=> C00118 + C00022
R06620,C00031 + C00399 <=> C00198 + C00390
R06836,C01151 + C00002 <=> C00119 + C00008
R06837,
R07147,C00031 + C00006 <=> C00198 + C00005 + C00080
R08570,C00204 <=> C00577 + C00022
R08571,C00577 + C00001 + C00139 <=> C00258 + C00080 + C00138
R08572,C00258 + C00002 <=> C00631 + C00008
R09084,C05345 + C00008 <=> C05378 + C00020
R09780,C06019 <=> C05345
R10221,C00345 + C00003 <=> C00199 + C00011 + C00004 + C00080
R10324,C00577 + C00001 + C00028 <=> C00258 + C00030
R10407,C03752 + C04261 <=> C20589 + C00615
R10408,C20589 <=> C04442 + C00014
R10615,C00577 + C00006 + C00001 <=> C00258 + C00005 + C00080
R10860,C00118 + C00003 + C00001 <=> C00197 + C00004 + C00080
R10907,C01172 + C00003 <=> C01236 + C00004 + C00080
