,Lactate,Malate,Fumarate,Biomass,CO2,R00268,R00405,R02740,R00351
3.816793893129771,0.0,0.0,0.67939958,123.92232,1053.2587,184.64602,-184.64602,131.0,-184.64602
3.787878787878788,0.0,0.0,2.8257389,123.9983,1050.5323,184.45267,-184.45267,132.0,-184.45267
3.7593984962406015,0.0,0.0,4.9720782,124.07427,1047.8059,184.25932,-184.25932,133.0,-184.25932
3.7313432835820897,0.0,0.0,7.1184175,124.15025,1045.0795,184.06597,-184.06597,134.0,-184.06597
3.7037037037037037,0.0,0.0,9.2647568,124.22623,1042.3531,183.87262,-183.87262,135.0,-183.87262
3.676470588235294,0.0,0.0,11.411096,124.30221,1039.6267,183.67927,-183.67927,136.0,-183.67927
3.6496350364963503,0.0,0.0,13.557435,124.37819,1036.9003,183.48592,-183.48592,137.0,-183.48592
3.6231884057971016,0.0,0.0,15.703775,124.45417,1034.1739,183.29257,-183.29257,138.0,-183.29257
3.597122302158273,0.0,0.0,17.850114,124.53015,1031.4475,183.09922,-183.09922,139.0,-183.09922
3.5714285714285716,0.0,0.0,19.996453,124.60613,1028.7212,182.90587,-182.90587,140.0,-182.90587
3.5460992907801416,0.0,0.0,22.142793,124.68211,1025.9948,182.71252,-182.71252,141.0,-182.71252
3.5211267605633805,0.0,0.0,24.289132,124.75809,1023.2684,182.51917,-182.51917,142.0,-182.51917
3.4965034965034967,0.0,0.0,26.435471,124.83407,1020.542,182.32582,-182.32582,143.0,-182.32582
3.4722222222222223,0.0,0.0,28.58181,124.91005,1017.8156,182.13247,-182.13247,144.0,-182.13247
3.4482758620689653,0.0,0.0,30.72815,124.98603,1015.0892,181.93912,-181.93912,145.0,-181.93912
3.4246575342465753,0.0,0.0,32.874489,125.06201,1012.3628,181.74577,-181.74577,146.0,-181.74577
3.401360544217687,0.0,0.0,35.020828,125.13799,1009.6364,181.55242,-181.55242,147.0,-181.55242
3.3783783783783785,0.0,0.0,37.167168,125.21396,1006.91,181.35907,-181.35907,148.0,-181.35907
3.3557046979865772,0.0,0.0,39.313507,125.28994,1004.1837,181.16572,-181.16572,149.0,-181.16572
3.3333333333333335,0.0,0.0,41.459846,125.36592,1001.4573,180.97237,-180.97237,150.0,-180.97237
3.3112582781456954,0.0,0.0,43.606186,125.4419,998.73088,180.77902,-180.77902,151.0,-180.77902
3.289473684210526,0.0,0.0,45.752525,125.51788,996.00449,180.58567,-180.58567,152.0,-180.58567
3.2679738562091503,0.0,0.0,47.898864,125.59386,993.2781,180.39232,-180.39232,153.0,-180.39232
3.2467532467532467,0.0,0.0,50.045203,125.66984,990.55171,180.19897,-180.19897,154.0,-180.19897
3.225806451612903,0.0,0.0,52.191543,125.74582,987.82532,180.00562,-180.00562,155.0,-180.00562
3.2051282051282053,0.0,0.0,54.337882,125.8218,985.09893,179.81227,-179.81227,156.0,-179.81227
3.1847133757961785,0.0,0.0,56.484221,125.89778,982.37254,179.61892,-179.61892,157.0,-179.61892
3.1645569620253164,0.0,0.0,58.630561,125.97376,979.64615,179.42557,-179.42557,158.0,-179.42557
3.1446540880503147,0.0,0.0,60.7769,126.04974,976.91976,179.23222,-179.23222,159.0,-179.23222
3.125,0.0,0.0,62.923239,126.12572,974.19337,179.03887,-179.03887,160.0,-179.03887
3.1055900621118013,0.0,0.0,65.069579,126.2017,971.46698,178.84552,-178.84552,161.0,-178.84552
3.0864197530864197,0.0,0.0,67.215918,126.27768,968.74059,178.65217,-178.65217,162.0,-178.65217
3.067484662576687,0.0,0.0,69.362257,126.35366,966.0142,178.45882,-178.45882,163.0,-178.45882
3.048780487804878,0.0,0.0,71.508597,126.42963,963.28781,178.26547,-178.26547,164.0,-178.26547
3.0303030303030303,0.0,0.0,73.654936,126.50561,960.56142,178.07212,-178.07212,165.0,-178.07212
3.0120481927710845,0.0,0.0,75.801275,126.58159,957.83503,177.87877,-177.87877,166.0,-177.87877
2.9940119760479043,0.0,0.0,77.947614,126.65757,955.10864,177.68542,-177.68542,167.0,-177.68542
2.9761904761904763,0.0,0.0,80.093954,126.73355,952.38225,177.49207,-177.49207,168.0,-177.49207
