,0,1,2,3,4,5,6,7,8,9,10
0,C00022,C00068,<=>,C05125,C00011,,,,,,
1,C00002,C00022,<=>,C00008,C00074,,,,,,
2,C00002,C00033,C00010,<=>,C00008,C00024,C00009,,,,
3,C00002,C00033,C00010,<=>,C00020,C00013,C00024,,,,
4,C00002,C00036,<=>,C00008,C00074,C00011,,,,,
5,C00044,C00036,<=>,C00035,C00074,C00011,,,,,
6,C00631,<=>,C00074,C00001,,,,,,,
7,C00186,C00003,<=>,C00022,C00004,C00080,,,,,
8,C00084,C00003,C00001,<=>,C00033,C00004,C00080,,,,
9,C00084,C00006,C00001,<=>,C00033,C00005,C00080,,,,
10,C00081,C00036,<=>,C00104,C00074,C00011,,,,,
11,C00469,C00006,<=>,C00084,C00005,C00080,,,,,
12,C00469,C00003,<=>,C00084,C00004,C00080,,,,,
13,C00084,C00068,<=>,C05125,,,,,,,
14,C00103,C00001,<=>,C00267,C00009,,,,,,
15,C00103,<=>,C00668,,,,,,,,
16,C00118,<=>,C00111,,,,,,,,
17,C00118,C00006,C00001,<=>,C00197,C00005,C00080,,,,
18,C00118,C00009,C00003,<=>,C00236,C00004,C00080,,,,
19,C00118,C00009,C00006,<=>,C00236,C00005,C00080,,,,
20,C05378,<=>,C00111,C00118,,,,,,,
21,2,C00138,C00024,C00011,2,C00080,<=>,2,C00139,C00022,C00010
22,C00002,C00197,<=>,C00008,C00236,,,,,,
23,C01159,C00615,<=>,C00197,C04262,,,,,,
24,C00631,<=>,C00197,,,,,,,,
25,C00002,C00221,<=>,C00008,C01172,,,,,,
26,C00267,<=>,C00221,,,,,,,,
27,C00236,<=>,C01159,,,,,,,,
28,C00002,C00267,<=>,C00008,C00668,,,,,,
29,C00668,C00001,<=>,C00267,C00009,,,,,,
30,C00013,C05345,<=>,C00009,C05378,,,,,,
31,C00404,C00221,<=>,C00404,C01172,,,,,,
32,C00404,C00267,<=>,C00404,C00668,,,,,,
33,C00024,C15973,<=>,C00010,C16255,,,,,,
34,C04261,C00031,<=>,C00615,C00668,,,,,,
35,C00668,<=>,C01172,,,,,,,,
36,C00668,<=>,C05345,,,,,,,,
37,C05125,C15972,<=>,C16255,C00068,,,,,,
38,C01172,<=>,C05345,,,,,,,,
39,C04261,C01451,<=>,C00615,C06188,,,,,,
40,C00002,C05345,<=>,C00008,C05378,,,,,,
41,C05378,C00001,<=>,C05345,C00009,,,,,,
42,C04261,C06186,<=>,C00615,C06187,,,,,,
43,C06187,C00001,<=>,C00530,C01172,,,,,,
44,C06188,C00001,<=>,C02323,C01172,,,,,,
45,C00469,2,C00125,<=>,2,C00126,C00084,2,C00080,,
46,C00118,C00001,2,C00139,<=>,C00197,2,C00080,2,C00138,
47,C15973,C00003,<=>,C15972,C00004,C00080,,,,,
48,C05345,C00008,<=>,C05378,C00020,,,,,,
49,C00267,C00008,<=>,C00668,C00020,,,,,,
50,C00221,C00008,<=>,C01172,C00020,,,,,,
51,C00469,2,C18233,<=>,C00084,2,C18234,2,C00080,,
52,C01159,C00001,<=>,C00631,C00009,,,,,,
53,C00118,C00003,C00001,<=>,C00197,C00004,C00080,,,,
