,Control,Clone A,Clone B
BIOMASS,0.0017522109,0.0029844232,0.0022649871
R00200,-0.015193884,-0.091441056,-0.04395583
R00268,0.0,0.0065074009,0.0
R00341,0.012540895,-0.0083936459,0.0098995619
R00342,0.014277844,0.0010721839,0.012144821
R00351,0.0,-0.0065074009,0.0
R00405,-0.013648345,0.0,-0.011331102
R00658,0.0026529894,0.099834702,0.034056268
R00703,-0.014307914,-0.083424641,-0.042810585
R01015,-0.0022208734,-0.051440686,-0.018184248
R01049,0.00022533257,0.00038379383,0.00029127508
R01056,-0.00015022171,-0.00025586256,-0.00019418339
R01061,0.0043666359,0.10275344,0.036271405
R01070,0.0022208734,0.051440686,0.018184248
R01082,-0.014277844,-0.0010721839,-0.012144821
R01196,0.0,-0.0065074009,0.0
R01197,-0.013648345,0.0,-0.011331102
R01325,0.0,0.0065074009,0.0
R01512,-0.0043666359,-0.10275344,-0.036271405
R01518,-0.0026529894,-0.099834702,-0.034056268
R01528,0.0,0.0,0.0
R01529,-0.00015022171,-0.00025586256,-0.00019418339
R01641,7.5110857e-05,0.00012793128,9.7091694e-05
R01786,0.0027781752,0.052389901,0.018904642
R01830,7.5110857e-05,0.00012793128,9.7091694e-05
R01899,0.0,0.0065074009,0.0
R01900,0.0,-0.0065074009,0.0
R02035,0.0,0.0,0.0
R02164,0.013648345,0.0,0.011331102
R02740,0.0022959842,0.051568617,0.01828134
R04779,0.0022208734,0.051440686,0.018184248
Glucose_input,0.0027781752,0.052389901,0.018904642
Oxygen_input,0.007070235,0.018549657,0.0091393058
CO2_output,0.032629976,0.022098629,0.02955625
Lactate_output,0.014307914,0.083424641,0.042810585
Acetate_output,0.0,0.0,0.0
Glutamate_input,0.016247942,-0.0020796809,0.014691459
Ammonia_input,-0.015618443,0.0031518647,-0.01387774
Glu_Exchange,0.0,0.0,0.0
acetyl_CoA_hydrolase,-8.1602214e-05,-0.00013898757,-0.00010548272
NADP_Exchange,0.0054906598,0.015859273,0.0070974754
ADP_Exchange,0.010618707,0.12269287,0.038041749
AMP_Exchange,0.00022533257,0.00038379383,0.00029127508
R00835,0.0,0.0,0.0
R08575,-7.5110857e-05,-0.00012793128,-9.7091694e-05
R00243,0.016247942,-0.0020796809,0.014691459
Oxophos,0.007070235,0.018549657,0.0091393058
