,Control,Clone A,Clone B
BIOMASS,0.0018026324,0.0031728435,0.0023330665
R00200,-0.01473334,-0.071747306,-0.038218382
R00268,0.0026744035,0.0047072623,0.0034613608
R00341,-0.0038137213,-0.0067125946,-0.0049359289
R00342,0.00064761373,0.0011398757,0.00083817748
R00351,-0.0026744035,-0.0047072623,-0.0034613608
R00405,0.0,0.0,0.0
R00658,0.018547061,0.078459901,0.043154311
R00703,-0.011147472,-0.065435759,-0.033577353
R01015,-0.010193646,-0.040849461,-0.022768019
R01049,0.00023181673,0.0004080245,0.00030003002
R01056,-0.00015454449,-0.00027201633,-0.00020002001
R01061,0.02031002,0.081562913,0.045436029
R01070,0.010193646,0.040849461,0.022768019
R01082,-0.00064761373,-0.0011398757,-0.00083817748
R01196,-0.0026744035,-0.0047072623,-0.0034613608
R01197,0.0,0.0,0.0
R01325,0.0026744035,0.0047072623,0.0034613608
R01512,-0.02031002,-0.081562913,-0.045436029
R01518,-0.018547061,-0.078459901,-0.043154311
R01528,0.0,0.0,0.0
R01529,-0.00015454449,-0.00027201633,-0.00020002001
R01641,7.7272243e-05,0.00013600817,0.00010001001
R01786,0.010766985,0.041858604,0.023510066
R01830,7.7272243e-05,0.00013600817,0.00010001001
R01899,0.0026744035,0.0047072623,0.0034613608
R01900,-0.0026744035,-0.0047072623,-0.0034613608
R02035,0.0,0.0,0.0
R02164,0.0,0.0,0.0
R02740,0.010270918,0.040985469,0.022868029
R04779,0.010193646,0.040849461,0.022768019
Glucose_input,0.010766985,0.041858604,0.023510066
Oxygen_input,0.0099480912,0.017509802,0.012875369
CO2_output,0.010835563,0.019071856,0.014023985
Lactate_output,0.011147472,0.065435759,0.033577353
Acetate_output,0.0,0.0,0.0
Ammonia_input,0.00064761373,0.0011398757,0.00083817748
Glu_Exchange,0.0,0.0,0.0
acetyl_CoA_hydrolase,-8.3950396e-05,-0.00014776249,-0.00010865324
NADP_Exchange,0.0083230622,0.014649561,0.010772167
ADP_Exchange,0.026072929,0.091706306,0.052894704
AMP_Exchange,0.00023181673,0.0004080245,0.00030003002
R00835,0.0,0.0,0.0
R08575,-7.7272243e-05,-0.00013600817,-0.00010001001
R00243,-0.0,-0.0,-0.0
Oxophos,0.0099480912,0.017509802,0.012875369
