,Control,Clone A,Clone B
BIOMASS,0.12040676,4.9953706,1.9805122
R00200,-0.060881268999999995,-123.9147,-45.355484000000004
R00268,0.0,0.0,0.0
R00341,-0.07593006899999999,-3.1572241,-1.2517431
R00342,0.043427947,1.7946368,0.7115188
R00351,0.0,0.0,0.0
R00405,-0.00017061485999999998,0.0,0.0
R00658,0.13681134,127.07192,46.607227
R00703,0.0,-121.38889,-44.354077
R01015,-0.12986473,-66.08574300000001,-24.314524000000002
R01049,0.015484189,0.6423996599999999,0.25469188
R01056,-0.010322792,-0.42826643999999997,-0.16979459
R01061,0.25456806000000004,131.95735,48.54415
R01070,0.12986473,66.08574300000001,24.314524000000002
R01082,-0.043427947,-1.7946368,-0.7115188
R01196,0.0,0.0,0.0
R01197,-0.00017061485999999998,0.0,0.0
R01325,0.0,0.0,0.0
R01512,-0.25456806000000004,-131.95735,-48.54415
R01518,-0.13681134,-127.07192,-46.607227
R01528,0.0,0.0,0.0
R01529,-0.010322792,-0.42826643999999997,-0.16979459
R01641,0.0051613962,0.21413321999999999,0.084897294
R01786,0.16816086,67.674552,24.944437999999998
R01830,0.0051613962,0.21413321999999999,0.084897294
R01899,0.0,0.0,0.0
R01900,0.0,0.0,0.0
R02035,0.0,0.0,0.0
R02164,0.00017061485999999998,0.0,0.0
R02740,0.13502613,66.299876,24.399421
R04779,0.12986473,66.08574300000001,24.314524000000002
Glucose_input,0.16816086,67.674552,24.944437999999998
Oxygen_input,0.48584566999999995,20.156503,7.9914388
CO2_output,0.36682887999999997,15.204642000000002,6.028177
Lactate_output,0.0,121.38889,44.354077
Acetate_output,0.0,0.0,0.0
Glutamate_input,0.17880728999999998,7.4111818,2.9383076
Ammonia_output,0.13554995,5.6165449,2.2267887999999996
Glu_Exchange,0.0,0.0,0.0
acetyl_CoA_hydrolase,-0.0056074631,-0.2326394,-0.092234432
NADP_Exchange,0.37730191999999996,15.653298,6.2060557
ADP_Exchange,-0.25351139,110.87134999999999,40.184192
AMP_Exchange,0.015484189,0.6423996599999999,0.25469188
R00835,0.0,0.0,0.0
R08575,-0.0051613962,-0.21413321999999999,-0.084897294
R00243,0.17880728999999998,7.4111818,2.9383076
Oxophos,0.48584566999999995,20.156503,7.9914388
