,Control,Clone A,Clone B
BIOMASS,0.002141738,0.0037695183,0.0027707376
R00200,-0.012729526,-0.070385873,-0.036591365
R00268,0.0,0.0,0.0
R00341,-0.0013536426,-0.0023824486,-0.0017511893
R00342,0.00076944078,0.0013542371,0.0009954152
R00351,0.0,0.0,0.0
R00405,0.0,0.0,0.0
R00658,0.014083169,0.072768321,0.038342555
R00703,-0.011646599,-0.068479891,-0.035190397
R01015,-0.0081347888,-0.038308231,-0.020585541
R01049,0.00027542536,0.00048475628,0.00035631409
R01056,-0.00018361691,-0.00032317085,-0.00023754272
R01061,0.016177769,0.076454876,0.041052311
R01070,0.0081347888,0.038308231,0.020585541
R01082,-0.00076944078,-0.0013542371,-0.0009954152
R01196,0.0,0.0,0.0
R01197,0.0,0.0,0.0
R01325,0.0,0.0,0.0
R01512,-0.016177769,-0.076454876,-0.041052311
R01518,-0.014083169,-0.072768321,-0.038342555
R01528,0.0,0.0,0.0
R01529,-0.00018361691,-0.00032317085,-0.00023754272
R01641,9.1808454e-05,0.00016158543,0.00011877136
R01786,0.0088159821,0.03950715,0.021466792
R01830,9.1808454e-05,0.00016158543,0.00011877136
R01899,0.0,0.0,0.0
R01900,0.0,0.0,0.0
R02035,0.0,0.0,0.0
R02164,0.0,0.0,0.0
R02740,0.0082265972,0.038469816,0.020704313
R04779,0.0081347888,0.038308231,0.020585541
Glucose_input,0.0088159821,0.03950715,0.021466792
Oxygen_input,0.0086419909,0.015210144,0.011180027
CO2_output,0.0065189075,0.011473458,0.0084334229
Lactate_output,0.011646599,0.068479891,0.035190397
Acetate_output,0.0,0.0,0.0
Glutamate_input,0.0031775039,0.005592495,0.004110694
Ammonia_input,-0.0024080631,-0.0042382579,-0.0031152788
Glu_Exchange,0.0,0.0,0.0
acetyl_CoA_hydrolase,-9.9742879e-05,-0.00017555024,-0.00012903602
NADP_Exchange,0.0067112666,0.011812015,0.0086822754
ADP_Exchange,0.0071372593,0.060543328,0.029356725
AMP_Exchange,0.00027542536,0.00048475628,0.00035631409
R00835,0.0,0.0,0.0
R08575,-9.1808454e-05,-0.00016158543,-0.00011877136
R00243,0.0031775039,0.005592495,0.004110694
Oxophos,0.0086419909,0.015210144,0.011180027
