,BIOMASS,R00200,R00268,R00341,R00342,R00351,R00405,R00658,R00703,R01015,R01049,R01056,R01061,R01070,R01082,R01196,R01197,R01325,R01512,R01518,R01528,R01529,R01641,R01786,R01830,R01899,R01900,R02035,R02164,R02740,R04779,Glucose_input,Oxygen_input,CO2_output,Lactate_output,Glutamate_input,Ammonia_output,Glu_Exchange,acetyl_CoA_hydrolase,NADP_Exchange,ADP_Exchange,AMP_Exchange,R00835,R08575,R00243,Oxophos
0,0.0,-200.0,0.0,0.0,0.0,0.0,0.0,200.0,-200.0,-100.0,0.0,-0.0,200.0,100.0,0.0,-0.0,0.0,0.0,-200.0,-200.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0
1,0.24782923,-199.43272,0.0,-0.15663551,0.08903513,0.0,0.0,199.58935,-199.30741,-99.921176,0.031870592,-0.021247061,199.83173,99.921176,-0.08903513,-0.0,0.0,0.0,-199.83173,-199.58935,0.0,-0.021247061,0.010623531,100.0,0.010623531,0.0,0.0,0.0,0.0,99.9318,99.921176,100.0,1.0,0.75432936,199.30741,0.36768193,0.2786468,0.0,-0.011541655,0.77658802,198.78561,0.031870592,0.0,-0.010623531,0.36768193,1.0
2,0.49565847,-198.86544,0.0,-0.31327102,0.17807026,0.0,0.0,199.17871,-198.61482,-99.842353,0.063741183,-0.042494122,199.66346,99.842353,-0.17807026,-0.0,0.0,0.0,-199.66346,-199.17871,0.0,-0.042494122,0.021247061,100.0,0.021247061,0.0,0.0,0.0,0.0,99.8636,99.842353,100.0,2.0,1.5086587,198.61482,0.73536386,0.5572936,0.0,-0.02308331,1.553176,197.57123,0.063741183,0.0,-0.021247061,0.73536386,2.0
3,0.7434877,-198.29816,0.0,-0.46990653,0.26710539,0.0,0.0,198.76806,-197.92223,-99.763529,0.095611775,-0.063741183,199.49519,99.763529,-0.26710539,-0.0,0.0,0.0,-199.49519,-198.76806,0.0,-0.063741183,0.031870592,100.0,0.031870592,0.0,0.0,0.0,0.0,99.7954,99.763529,100.0,3.0,2.2629881,197.92223,1.1030458,0.83594039,0.0,-0.034624966,2.3297641,196.35684,0.095611775,0.0,-0.031870592,1.1030458,3.0
4,0.99131693,-197.73088,0.0,-0.62654204,0.35614052,0.0,0.0,198.35742,-197.22964,-99.684705,0.12748237,-0.084988244,199.32692,99.684705,-0.35614052,-0.0,0.0,0.0,-199.32692,-198.35742,0.0,-0.084988244,0.042494122,100.0,0.042494122,0.0,0.0,0.0,0.0,99.727199,99.684705,100.0,4.0,3.0173174,197.22964,1.4707277,1.1145872,0.0,-0.046166621,3.1063521,195.14246,0.12748237,0.0,-0.042494122,1.4707277,4.0
5,1.2391462,-197.16359,0.0,-0.78317755,0.44517565,0.0,0.0,197.94677,-196.53704,-99.605882,0.15935296,-0.10623531,199.15865,99.605882,-0.44517565,-0.0,0.0,0.0,-199.15865,-197.94677,0.0,-0.10623531,0.053117653,100.0,0.053117653,0.0,0.0,0.0,0.0,99.658999,99.605882,100.0,5.0,3.7716468,196.53704,1.8384096,1.393234,0.0,-0.057708276,3.8829401,193.92807,0.15935296,0.0,-0.053117653,1.8384096,5.0
6,1.4869754,-196.59631,0.0,-0.93981306,0.53421078,0.0,0.0,197.53613,-195.84445,-99.527058,0.19122355,-0.12748237,198.99037,99.527058,-0.53421078,-0.0,0.0,0.0,-198.99037,-197.53613,0.0,-0.12748237,0.063741183,100.0,0.063741183,0.0,0.0,0.0,0.0,99.590799,99.527058,100.0,6.0,4.5259762,195.84445,2.2060916,1.6718808,0.0,-0.069249931,4.6595281,192.71369,0.19122355,0.0,-0.063741183,2.2060916,6.0
7,1.7348046,-196.02903,0.0,-1.0964486,0.62324591,0.0,0.0,197.12548,-195.15186,-99.448234,0.22309414,-0.14872943,198.8221,99.448234,-0.62324591,-0.0,0.0,0.0,-198.8221,-197.12548,0.0,-0.14872943,0.074364714,100.0,0.074364714,0.0,0.0,0.0,0.0,99.522599,99.448234,100.0,7.0,5.2803055,195.15186,2.5737735,1.9505276,0.0,-0.080791586,5.4361161,191.4993,0.22309414,0.0,-0.074364714,2.5737735,7.0
8,1.9826339,-195.46175,0.0,-1.2530841,0.71228104,0.0,0.0,196.71484,-194.45927,-99.369411,0.25496473,-0.16997649,198.65383,99.369411,-0.71228104,-0.0,0.0,0.0,-198.65383,-196.71484,0.0,-0.16997649,0.084988244,100.0,0.084988244,0.0,0.0,0.0,0.0,99.454399,99.369411,100.0,8.0,6.0346349,194.45927,2.9414554,2.2291744,0.0,-0.092333242,6.2127041,190.28492,0.25496473,0.0,-0.084988244,2.9414554,8.0
9,2.2304631,-194.89447,0.0,-1.4097196,0.80131617,0.0,0.0,196.30419,-193.76668,-99.290587,0.28683532,-0.19122355,198.48556,99.290587,-0.80131617,-0.0,0.0,0.0,-198.48556,-196.30419,0.0,-0.19122355,0.095611775,100.0,0.095611775,0.0,0.0,0.0,0.0,99.386199,99.290587,100.0,9.0,6.7889642,193.76668,3.3091374,2.5078212,0.0,-0.1038749,6.9892922,189.07053,0.28683532,0.0,-0.095611775,3.3091374,9.0
