,BIOMASS,R00200,R00268,R00341,R00342,R00351,R00405,R00658,R00703,R01015,R01049,R01056,R01061,R01070,R01082,R01196,R01197,R01325,R01512,R01518,R01528,R01529,R01641,R01786,R01830,R01899,R01900,R02035,R02164,R02740,R04779,Glucose_input,Oxygen_input,CO2_output,Lactate_output,Acetate_output,Glutamate_input,Ammonia_output,Glu_Exchange,acetyl_CoA_hydrolase,NADP_Exchange,ADP_Exchange,AMP_Exchange,R00835,R08575,R00243,Oxophos
0,0.0,-100.0,0.0,100.0,100.0,0.0,-100.0,0.0,-100.0,0.0,0.0,-0.0,0.0,0.0,-100.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,200.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0
1,0.24782923,-99.065037,0.0,99.475683,99.721353,0.0,-99.632318,-0.4106456,-98.939727,0.078823657,0.031870592,-0.021247061,-0.16827084,-0.078823657,-99.721353,0.0,-99.632318,0.0,0.16827084,0.4106456,0.0,-0.021247061,0.010623531,0.0,0.010623531,0.0,0.0,0.0,99.632318,-0.068200127,-0.078823657,0.0,1.0,200.01897,98.939727,0.0,100.0,99.910965,0.0,-0.011541655,0.77658802,98.417933,0.031870592,0.0,-0.010623531,100.0,1.0
2,0.49565847,-98.130074,0.0,98.951365,99.442706,0.0,-99.264636,-0.82129121,-97.879454,0.15764731,0.063741183,-0.042494122,-0.33654169,-0.15764731,-99.442706,0.0,-99.264636,0.0,0.33654169,0.82129121,0.0,-0.042494122,0.021247061,0.0,0.021247061,0.0,0.0,0.0,99.264636,-0.13640025,-0.15764731,0.0,2.0,200.03793,97.879454,0.0,100.0,99.82193,0.0,-0.02308331,1.553176,96.835866,0.063741183,0.0,-0.021247061,100.0,2.0
3,0.7434877,-97.195111,0.0,98.427048,99.16406,0.0,-98.896954,-1.2319368,-96.819181,0.23647097,0.095611775,-0.063741183,-0.50481253,-0.23647097,-99.16406,0.0,-98.896954,0.0,0.50481253,1.2319368,0.0,-0.063741183,0.031870592,0.0,0.031870592,0.0,0.0,0.0,98.896954,-0.20460038,-0.23647097,0.0,3.0,200.0569,96.819181,0.0,100.0,99.732895,0.0,-0.034624966,2.3297641,95.253799,0.095611775,0.0,-0.031870592,100.0,3.0
4,0.99131693,-96.260148,0.0,97.90273,98.885413,0.0,-98.529272,-1.6425824,-95.758908,0.31529463,0.12748237,-0.084988244,-0.67308338,-0.31529463,-98.885413,0.0,-98.529272,0.0,0.67308338,1.6425824,0.0,-0.084988244,0.042494122,0.0,0.042494122,0.0,0.0,0.0,98.529272,-0.27280051,-0.31529463,0.0,4.0,200.07586,95.758908,0.0,100.0,99.643859,0.0,-0.046166621,3.1063521,93.671732,0.12748237,0.0,-0.042494122,100.0,4.0
5,1.2391462,-95.325185,0.0,97.378413,98.606766,0.0,-98.16159,-2.053228,-94.698635,0.39411829,0.15935296,-0.10623531,-0.84135422,-0.39411829,-98.606766,0.0,-98.16159,0.0,0.84135422,2.053228,0.0,-0.10623531,0.053117653,0.0,0.053117653,0.0,0.0,0.0,98.16159,-0.34100063,-0.39411829,0.0,5.0,200.09483,94.698635,0.0,100.0,99.554824,0.0,-0.057708276,3.8829401,92.089665,0.15935296,0.0,-0.053117653,100.0,5.0
6,1.4869754,-94.390222,0.0,96.854095,98.328119,0.0,-97.793908,-2.4638736,-93.638362,0.47294194,0.19122355,-0.12748237,-1.0096251,-0.47294194,-98.328119,0.0,-97.793908,0.0,1.0096251,2.4638736,0.0,-0.12748237,0.063741183,0.0,0.063741183,0.0,0.0,0.0,97.793908,-0.40920076,-0.47294194,0.0,6.0,200.11379,93.638362,0.0,100.0,99.465789,0.0,-0.069249931,4.6595281,90.507598,0.19122355,0.0,-0.063741183,100.0,6.0
7,1.7348046,-93.455259,0.0,96.329778,98.049472,0.0,-97.426227,-2.8745192,-92.578089,0.5517656,0.22309414,-0.14872943,-1.1778959,-0.5517656,-98.049472,0.0,-97.426227,0.0,1.1778959,2.8745192,0.0,-0.14872943,0.074364714,0.0,0.074364714,0.0,0.0,0.0,97.426227,-0.47740089,-0.5517656,0.0,7.0,200.13276,92.578089,0.0,100.0,99.376754,0.0,-0.080791586,5.4361161,88.925531,0.22309414,0.0,-0.074364714,100.0,7.0
8,1.9826339,-92.520296,0.0,95.80546,97.770826,0.0,-97.058545,-3.2851648,-91.517817,0.63058926,0.25496473,-0.16997649,-1.3461668,-0.63058926,-97.770826,0.0,-97.058545,0.0,1.3461668,3.2851648,0.0,-0.16997649,0.084988244,0.0,0.084988244,0.0,0.0,0.0,97.058545,-0.54560101,-0.63058926,0.0,8.0,200.15172,91.517817,0.0,100.0,99.287719,0.0,-0.092333242,6.2127041,87.343464,0.25496473,0.0,-0.084988244,100.0,8.0
9,2.2304631,-91.585333,0.0,95.281143,97.492179,0.0,-96.690863,-3.6958104,-90.457544,0.70941291,0.28683532,-0.19122355,-1.5144376,-0.70941291,-97.492179,0.0,-96.690863,0.0,1.5144376,3.6958104,0.0,-0.19122355,0.095611775,0.0,0.095611775,0.0,0.0,0.0,96.690863,-0.61380114,-0.70941291,0.0,9.0,200.17069,90.457544,0.0,100.0,99.198684,0.0,-0.1038749,6.9892922,85.761397,0.28683532,0.0,-0.095611775,100.0,9.0
