,Glucose_input,Lactate_output,Glutamate_input,Ammonia_output
0,0.0,100.0,100.0,100.0
1,0.0,98.939727,100.0,99.910965
2,0.0,97.879454,100.0,99.82193
3,0.0,96.819181,100.0,99.732895
4,0.0,95.758908,100.0,99.643859
5,0.0,94.698635,100.0,99.554824
6,0.0,93.638362,100.0,99.465789
7,0.0,92.578089,100.0,99.376754
8,0.0,91.517817,100.0,99.287719
9,0.0,90.457544,100.0,99.198684
10,0.0,89.397271,100.0,99.109649
11,0.0,88.336998,100.0,99.020614
12,0.0,87.276725,100.0,98.931578
13,0.0,86.216452,100.0,98.842543
14,0.0,85.156179,100.0,98.753508
15,0.0,84.095906,100.0,98.664473
16,0.0,83.035633,100.0,98.575438
17,0.0,81.97536,100.0,98.486403
18,0.0,80.915087,100.0,98.397368
19,0.0,79.854814,100.0,98.308333
20,0.0,78.794541,100.0,98.219297
21,0.0,77.734268,100.0,98.130262
22,0.0,76.673995,100.0,98.041227
23,0.0,75.613722,100.0,97.952192
24,0.0,74.55345,100.0,97.863157
25,0.0,73.493177,100.0,97.774122
26,0.0,72.432904,100.0,97.685087
27,0.0,71.372631,100.0,97.596051
28,0.0,70.312358,100.0,97.507016
29,0.0,69.252085,100.0,97.417981
30,0.0,68.191812,100.0,97.328946
31,0.0,67.131539,100.0,97.239911
32,0.0,66.071266,100.0,97.150876
33,0.0,65.010993,100.0,97.061841
34,0.0,63.95072,100.0,96.972806
35,0.0,62.890447,100.0,96.88377
36,0.0,61.830174,100.0,96.794735
37,0.0,60.769901,100.0,96.7057
38,0.0,59.709628,100.0,96.616665
39,0.0,58.649355,100.0,96.52763
40,0.0,57.589083,100.0,96.438595
41,0.0,56.52881,100.0,96.34956
42,0.0,55.468537,100.0,96.260525
43,0.0,54.408264,100.0,96.171489
44,0.0,53.347991,100.0,96.082454
45,0.0,52.287718,100.0,95.993419
46,0.0,51.227445,100.0,95.904384
47,0.0,50.167172,100.0,95.815349
48,0.0,49.106899,100.0,95.726314
49,0.0,48.046626,100.0,95.637279
50,0.0,46.986353,100.0,95.548243
51,0.0,45.92608,100.0,95.459208
52,0.0,44.865807,100.0,95.370173
53,0.0,43.805534,100.0,95.281138
54,0.0,42.745261,100.0,95.192103
55,0.0,41.684988,100.0,95.103068
56,0.0,40.624716,100.0,95.014033
57,0.0,39.564443,100.0,94.924998
58,0.0,38.50417,100.0,94.835962
59,0.0,37.443897,100.0,94.746927
60,0.0,36.383624,100.0,94.657892
61,0.0,35.323351,100.0,94.568857
62,0.0,34.263078,100.0,94.479822
63,0.0,33.202805,100.0,94.390787
64,0.0,32.142532,100.0,94.301752
65,0.0,31.082259,100.0,94.212717
66,0.0,30.021986,100.0,94.123681
67,0.0,28.961713,100.0,94.034646
68,0.0,27.90144,100.0,93.945611
69,0.0,26.841167,100.0,93.856576
70,0.0,25.780894,100.0,93.767541
71,0.0,24.720621,100.0,93.678506
72,0.0,23.660349,100.0,93.589471
73,0.0,22.600076,100.0,93.500435
74,0.0,21.539803,100.0,93.4114
75,0.0,20.47953,100.0,93.322365
76,0.0,19.419257,100.0,93.23333
77,0.0,18.358984,100.0,93.144295
78,0.0,17.298711,100.0,93.05526
79,0.0,16.238438,100.0,92.966225
