,BIOMASS,R00200,R00268,R00341,R00342,R00351,R00405,R00658,R00703,R01015,R01049,R01056,R01061,R01070,R01082,R01196,R01197,R01325,R01512,R01518,R01528,R01529,R01641,R01786,R01830,R01899,R01900,R02035,R02164,R02740,R04779,Glucose_input,Oxygen_input,CO2_output,Lactate_output,Acetate_output,Glutamate_input,Ammonia_output,Glu_Exchange,acetyl_CoA_hydrolase,NADP_Exchange,ADP_Exchange,AMP_Exchange,R00835,R08575,R00243,Oxophos
0,23.374098,-11.818645,0.0,50.548824,73.719333,0.0,-65.321955,-38.730179,0.0,7.4342798,3.0058856,-2.0039237,-15.870522,-7.4342798,-73.719333,0.0,-65.321955,0.0,15.870522,38.730179,0.0,-2.0039237,1.0019619,0.0,1.0019619,0.0,0.0,0.0,65.321955,-6.432318,-7.4342798,0.0,94.315338,201.78874,0.0,0.0,100.0,91.602622,0.0,-1.0885551,73.244161,-49.213185,3.0058856,0.0,-1.0019619,100.0,94.315338
1,23.84158,-12.055018,0.0,49.5598,73.19372,0.0,-64.628394,-37.504782,0.0,6.5829654,3.0660033,-2.0440022,-14.187932,-6.5829654,-73.19372,0.0,-64.628394,0.0,14.187932,37.504782,0.0,-2.0440022,1.0220011,1.0,1.0220011,0.0,0.0,0.0,64.628394,-5.5609643,-6.5829654,1.0,96.201644,201.82451,0.0,0.0,100.0,91.434674,0.0,-1.1103262,74.709044,-50.197449,3.0660033,0.0,-1.0220011,100.0,96.201644
2,24.309062,-12.291391,0.0,48.570777,72.668107,0.0,-63.934833,-36.279386,0.0,5.731651,3.126121,-2.0840807,-12.505342,-5.731651,-72.668107,0.0,-63.934833,0.0,12.505342,36.279386,0.0,-2.0840807,1.0420403,2.0,1.0420403,0.0,0.0,0.0,63.934833,-4.6896107,-5.731651,2.0,98.087951,201.86029,0.0,0.0,100.0,91.266727,0.0,-1.1320973,76.173928,-51.181712,3.126121,0.0,-1.0420403,100.0,98.087951
3,24.776544,-12.527764,0.0,47.581753,72.142493,0.0,-63.241272,-35.053989,0.0,4.8803366,3.1862387,-2.1241592,-10.822753,-4.8803366,-72.142493,0.0,-63.241272,0.0,10.822753,35.053989,0.0,-2.1241592,1.0620796,3.0,1.0620796,0.0,0.0,0.0,63.241272,-3.818257,-4.8803366,3.0,99.974258,201.89606,0.0,0.0,100.0,91.098779,0.0,-1.1538684,77.638811,-52.165976,3.1862387,0.0,-1.0620796,100.0,99.974258
4,25.244026,-12.764137,0.0,46.59273,71.61688,0.0,-62.547711,-33.828593,0.0,4.0290222,3.2463564,-2.1642376,-9.1401632,-4.0290222,-71.61688,0.0,-62.547711,0.0,9.1401632,33.828593,0.0,-2.1642376,1.0821188,4.0,1.0821188,0.0,0.0,0.0,62.547711,-2.9469034,-4.0290222,4.0,101.86056,201.93184,0.0,0.0,100.0,90.930831,0.0,-1.1756395,79.103694,-53.15024,3.2463564,0.0,-1.0821188,100.0,101.86056
5,25.711508,-13.00051,0.0,45.603706,71.091267,0.0,-61.85415,-32.603197,0.0,3.1777078,3.3064742,-2.2043161,-7.4575737,-3.1777078,-71.091267,0.0,-61.85415,0.0,7.4575737,32.603197,0.0,-2.2043161,1.1021581,5.0,1.1021581,0.0,0.0,0.0,61.85415,-2.0755498,-3.1777078,5.0,103.74687,201.96761,0.0,0.0,100.0,90.762884,0.0,-1.1974106,80.568577,-54.134504,3.3064742,0.0,-1.1021581,100.0,103.74687
6,26.178989,-13.236882,0.0,44.614683,70.565653,0.0,-61.160589,-31.3778,0.0,2.3263934,3.3665919,-2.2443946,-5.7749841,-2.3263934,-70.565653,0.0,-61.160589,0.0,5.7749841,31.3778,0.0,-2.2443946,1.1221973,6.0,1.1221973,0.0,0.0,0.0,61.160589,-1.2041961,-2.3263934,6.0,105.63318,202.00339,0.0,0.0,100.0,90.594936,0.0,-1.2191817,82.03346,-55.118767,3.3665919,0.0,-1.1221973,100.0,105.63318
7,26.646471,-13.473255,0.0,43.625659,70.04004,0.0,-60.467028,-30.152404,0.0,1.475079,3.4267096,-2.2844731,-4.0923945,-1.475079,-70.04004,0.0,-60.467028,0.0,4.0923945,30.152404,0.0,-2.2844731,1.1422365,7.0,1.1422365,0.0,0.0,0.0,60.467028,-0.33284248,-1.475079,7.0,107.51948,202.03916,0.0,0.0,100.0,90.426989,0.0,-1.2409528,83.498344,-56.103031,3.4267096,0.0,-1.1422365,100.0,107.51948
8,27.113953,-13.709628,0.0,42.636636,69.514426,0.0,-59.773468,-28.927007,0.0,0.6237646,3.4868273,-2.3245515,-2.409805,-0.6237646,-69.514426,0.0,-59.773468,0.0,2.409805,28.927007,0.0,-2.3245515,1.1622758,8.0,1.1622758,0.0,0.0,0.0,59.773468,0.53851116,-0.6237646,8.0,109.40579,202.07494,0.0,0.0,100.0,90.259041,0.0,-1.2627239,84.963227,-57.087295,3.4868273,0.0,-1.1622758,100.0,109.40579
9,27.581435,-13.946001,0.0,41.647612,68.988813,0.0,-59.079907,-27.701611,0.0,-0.2275498,3.546945,-2.36463,-0.7272154,0.2275498,-68.988813,0.0,-59.079907,0.0,0.7272154,27.701611,0.0,-2.36463,1.182315,9.0,1.182315,0.0,0.0,0.0,59.079907,1.4098648,0.2275498,9.0,111.2921,202.11071,0.0,0.0,100.0,90.091094,0.0,-1.284495,86.42811,-58.071558,3.546945,0.0,-1.182315,100.0,111.2921
