,0,1
0,ATP,ATP:pyruvate_2-O-phosphotransferase
1,Pyruvate,ATP:pyruvate_2-O-phosphotransferase
2,Oxalosuccinate,oxalosuccinate_carboxy-lyase
3,ATP,ATP:oxaloacetate_carboxy-lyase
4,Oxaloacetate,ATP:oxaloacetate_carboxy-lyase
5,(S)-Malate,(S)-malate:NAD+_oxidoreductase
6,NAD+,(S)-malate:NAD+_oxidoreductase
7,Citrate,acetyl-CoA:oxaloacetate_c-acetyltransferase
8,CoA,acetyl-CoA:oxaloacetate_c-acetyltransferase
9,2-Phospho-D-glycerate,2-phospho-D-glycerate_hydro-lyase
10,(S)-Lactate,(S)-Lactate:NAD+_oxidoreductase
11,NAD+,(S)-Lactate:NAD+_oxidoreductase
12,D-Glyceraldehyde-3-phosphate,D-glyceraldehyde-3-phosphate_aldose-ketose-isomerase
13,ATP,ATP:D-ribose-5-phosphate_diphosphotransferase
14,D-Ribose-5-phosphate,ATP:D-ribose-5-phosphate_diphosphotransferase
15,D-Ribose-5-phosphate,D-ribose-5-phosphate_aldose-ketose-isomerase
16,D-Glyceraldehyde-3-phosphate,D-glyceraldehyde-3-phosphate:NAD+_oxidoreductase
17,Orthophosphate,D-glyceraldehyde-3-phosphate:NAD+_oxidoreductase
18,NAD+,D-glyceraldehyde-3-phosphate:NAD+_oxidoreductase
19,beta-D-Fructose-1_6-bisphosphate,beta-D-fructose-1_6-bisphosphate_D-glyceraldehyde-3-phosphate-lyase
20,(S)-Malate,(S)-malate_hydro-lyase
21,Reduced-ferredoxin,pyruvate:ferredoxin_2-oxidoreductase
22,Acetyl-CoA,pyruvate:ferredoxin_2-oxidoreductase
23,CO2,pyruvate:ferredoxin_2-oxidoreductase
24,H+,pyruvate:ferredoxin_2-oxidoreductase
25,Citrate,citrate_hydro-lyase
26,ATP,ATP:3-phospho-D-glycerate_1-phosphotransferase
27,3-Phospho-D-glycerate,ATP:3-phospho-D-glycerate_1-phosphotransferase
28,2-Phospho-D-glycerate,D-phosphoglycerate_2_3-phosphomutase
29,D-Ribulose-5-phosphate,D-Ribulose-5-phosphate-3-epimerase
30,Sedoheptulose-7-phosphate,sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate_glycolaldehyde_transferase
31,D-Glyceraldehyde-3-phosphate,sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate_glycolaldehyde_transferase
32,ATP,ATP:alpha-D-glucose_6-phosphotransferase
33,alpha-D-Glucose,ATP:alpha-D-glucose_6-phosphotransferase
34,beta-D-Fructose-6-phosphate,beta-D-Fructose_6-phosphate:D-glyceraldehyde-3-phosphate_glycolaldehyde_transferase
35,D-Glyceraldehyde-3-phosphate,beta-D-Fructose_6-phosphate:D-glyceraldehyde-3-phosphate_glycolaldehyde_transferase
36,Isocitrate,Isocitrate:NADP+_oxidoreductase
37,NADP+,Isocitrate:NADP+_oxidoreductase
38,Isocitrate,isocitrate_hydro-lyase
39,alpha-D-Glucose-6-phosphate,alpha-D-Glucose_6-phosphate_ketol-isomerase
