,40,80,200
BIOMASS,48.268489,62.059485,92.651014
R00200,-56.017608,-43.451211,-46.847132
R00268,31.611612,12.072073,0.0
R00341,-62.118745,-51.29553,3.9838083
R00342,17.340937,22.295491,95.827832
R00351,-31.611612,-12.072073,0.0
R00405,0.0,0.0,-62.542029
R00658,118.13635,94.74674,42.863324
R00703,0.0,0.0,0.0
R01015,-84.019832,-79.45407,-69.326183
R01049,8.0914881,10.403342,15.531553
R01056,-5.3943254,-6.9355612,-10.354369
R01061,165.3425,155.44036,133.47518
R01070,84.019832,79.45407,69.326183
R01082,-17.340937,-22.295491,-95.827832
R01196,-31.611612,-12.072073,0.0
R01197,0.0,0.0,-62.542029
R01325,31.611612,12.072073,0.0
R01512,-165.3425,-155.44036,-133.47518
R01518,-118.13635,-94.74674,-42.863324
R01528,0.0,0.0,0.0
R01529,-5.3943254,-6.9355612,-10.354369
R01641,2.6971627,3.4677806,5.1771843
R01786,100.0,100.0,100.0
R01830,2.6971627,3.4677806,5.1771843
R01899,31.611612,12.072073,0.0
R01900,-31.611612,-12.072073,0.0
R02035,0.0,0.0,0.0
R02164,0.0,0.0,62.542029
R02740,86.716995,82.92185,74.503367
R04779,84.019832,79.45407,69.326183
Glucose_input,100.0,100.0,100.0
Oxygen_input,226.37673,262.48436,373.85022
CO2_output,210.14027,213.03749,407.09026
Lactate_output,0.0,0.0,0.0
Succinate_output,0.0,0.0,0.0
Malate_output,0.0,0.0,0.0
Fumarate_output,0.0,0.0,0.0
Acetate_output,0.0,0.0,0.0
Glutamate_output,0.0,0.0,0.0
Glutamate_input,40.0,80.0,200.0
Ammonia_output,40.0,80.0,200.0
Glu_Exchange,0.0,0.0,0.0
acetyl_CoA_hydrolase,-2.2479118,-2.8901723,-4.3148504
NADP_Exchange,182.86387,206.53926,290.3276
ADP_Exchange,114.62945,-52.619283,-204.71743
AMP_Exchange,8.0914881,10.403342,15.531553
R00835,0.0,0.0,0.0
R08575,-2.6971627,-3.4677806,-5.1771843
R00243,40.0,80.0,200.0
Oxophos,226.37673,262.48436,373.85022
